Product_name,Week1,Week2,Week3,Week4,Week5,Weight_sum
"Panasonic Eluga Pulse X (Grey, 16 GB)(3 GB RAM)",0,0,0,0,0,0
"Panasonic Eluga Ray 530 (Blue, 32 GB)(3 GB RAM)",10,6,9,8,7,36.2
"Panasonic Eluga Ray 600 (Black, 32 GB)(3 GB RAM)",0,4,3,2,6,13
"Panasonic Eluga Ray 800 (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Panasonic Eluga Ray Max (Gold, 32 GB)(4 GB RAM)",0,1,0,1,1,2.6
"Panasonic Eluga Z1 (Black, 32 GB)(3 GB RAM)",2,9,9,11,6,32.8
"Panasonic Eluga Z1 Pro (Gold, 64 GB)(4 GB RAM)",49,52,78,55,17,228.95
"Panasonic P100 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Panasonic P110 (Blue, 16 GB)(1 GB RAM)",3,10,11,11,23,50.15
"Panasonic p50 (Golden, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Panasonic P55 Max (Champagne Gold, 16 GB)(3 GB RAM)",0,1,0,1,0,1.8
"Panasonic P55 Novo (Midnight Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Panasonic P71 (Ivory Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"POCO F1 by Xiaomi (Steel Blue, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"POCO F1 by Xiaomi (Steel Blue, 256 GB)(8 GB RAM)",14,24,21,9,4,66.55
"POCO F1 by Xiaomi (Steel Blue, 64 GB)(6 GB RAM)",13,163,151,161,187,590.2
"Rage 35 GN (Black, 512 MB)(512 MB RAM)",0,0,0,0,0,0
"Rage Swift (champange, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Realme 1 (Diamond Black, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"Realme 1 (Red, Solar Red, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"Realme 2 (Diamond Blue, 32 GB)(3 GB RAM)",49,57,66,58,32,237.45
"Realme 2 (Diamond Blue, 64 GB)(4 GB RAM)",18,24,20,26,14,92.1
"Realme 2 Pro (Black Sea, 128 GB)(8 GB RAM)",1,11,9,15,13,42.7
"Realme 2 Pro (Ice Lake, 64 GB)(4 GB RAM)",164,199,189,198,198,849.85
"Realme 2 Pro (Ice Lake, 64 GB)(6 GB RAM)",28,40,27,27,36,142.05
"Realme 3 (Diamond Red, 32 GB)(3 GB RAM)",992,1117,891,864,405,3913.45
"Realme 3 (Diamond Red, 64 GB)(4 GB RAM)",16,382,317,309,415,1258.85
"Realme 3 (Dynamic Black, 32 GB)(3 GB RAM)",106,1141,903,857,1021,3547.9
"Realme 3 (Dynamic Black, 64 GB)(4 GB RAM)",337,382,304,311,184,1385.05
"Realme 3 Pro (Lightning Purple, 128 GB)(6 GB RAM)",305,356,317,330,125,1309
"Realme 3 Pro (Lightning Purple, 64 GB)(4 GB RAM)",468,902,831,699,808,3313.35
"Realme 3 Pro (Nitro Blue, 64 GB)(6 GB RAM)",31,350,323,328,439,1284.2
"Realme 3i (Diamond Black, 32 GB)(3 GB RAM)",1741,1592,1249,1725,1229,6826.95
"Realme 3i (Diamond Blue, 64 GB)(4 GB RAM)",43,437,313,354,216,1213.55
"Realme 3i (Diamond Red, 64 GB)(4 GB RAM)",471,440,299,343,129,1552.85
"Realme C1 (Mirror Black, 32 GB)(2 GB RAM)",118,150,150,144,78,580.3
"Realme C1 (Navy Blue, 32 GB)(2 GB RAM)",13,148,151,143,216,583.85
"Realme C2 (Diamond Black, 16 GB)(2 GB RAM)",2014,2258,2104,1028,0,6926.5
"Realme C2 (Diamond Blue, 16 GB)(2 GB RAM)",213,2259,2143,2332,2634,8377.15
"Realme U1 (Fiery Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Realme X (Garlic, 128 GB)(8 GB RAM)",124,459,457,586,454,1832.65
"Realme X (Space Blue, 128 GB)(4 GB RAM)",124,1111,1031,1279,1360,4282.5
"Redmi 1S (Metal Gray, 8 GB)(1 GB RAM)",0,2,8,4,3,14.9
"Redmi 2 (White, 8 GB)(1 GB RAM)",3,2,2,1,2,9.15
"Redmi 3S (Silver, 16 GB)(2 GB RAM)",1,5,2,4,2,12.55
"Redmi 3S Prime (Gold, 32 GB)(3 GB RAM)",8,5,7,10,5,31.55
"Redmi 3S Prime (Silver, 32 GB)(3 GB RAM)",3,5,7,10,6,27.35
"Redmi 5 (Gold, 32 GB)(3 GB RAM)",0,8,4,3,5,17.75
"Redmi 5 (Lake Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Redmi 5 (Rose Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Redmi 5A (Blue, 16 GB)(2 GB RAM)",3,57,36,32,50,156.75
"Redmi 5A (Gold, 32 GB)(3 GB RAM)",26,46,39,29,16,142.25
"Redmi 6 (Gold, 64 GB)(3 GB RAM)",474,500,357,509,239,1894.15
"Redmi 6 Pro (Black, 32 GB)(3 GB RAM)",9,7,11,11,9,42.1
"Redmi 6 Pro (Black, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Redmi 6 Pro (Red, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Redmi 6 Pro (Rose Gold, 32 GB)(3 GB RAM)",0,7,11,11,15,37.9
"Redmi 6A (Blue, 16 GB)(2 GB RAM)",8,54,40,57,85,211.75
"Redmi 6A (Gold, 32 GB)(2 GB RAM)",36,52,43,55,27,192.45
"Redmi 7 (Lunar Red, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"Redmi 7 (Lunar Red, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Redmi 7A (Matte Blue, 32 GB)(2 GB RAM)",1051,940,714,965,184,3554.05
"Redmi Go (Blue, 16 GB)(1 GB RAM)",232,269,272,260,315,1205.35
"Redmi K20 (Carbon Black, 128 GB)(6 GB RAM)",41,274,289,409,421,1245.85
"Redmi K20 (Glacier Blue, 128 GB)(6 GB RAM)",287,267,292,432,102,1252.25
"Redmi K20 Pro (Carbon Black, 256 GB)(8 GB RAM)",14,161,139,140,145,527.05
"Redmi K20 Pro (Glacier Blue, 256 GB)(8 GB RAM)",128,155,141,139,30,544.3
"Redmi Note 5 (Gold, 64 GB)(4 GB RAM)",25,23,29,30,21,115.25
"Redmi Note 5 Pro (Gold, 64 GB)(4 GB RAM)",84,131,115,113,142,521.6
"Redmi Note 5 Pro (Gold, 64 GB)(6 GB RAM)",60,96,73,102,95,379.6
"Redmi Note 6 Pro (Black, 64 GB)(6 GB RAM)",54,68,51,61,30,240.35
"Redmi Note 6 Pro (Blue, 64 GB)(6 GB RAM)",5,70,53,58,70,224.5
"Redmi Note 6 Pro (Rose Gold, 64 GB)(4 GB RAM)",226,334,306,323,357,1378.85
"Redmi Note 7 (Onyx Black, 32 GB)(3 GB RAM)",95,137,122,131,172,583.9
"Redmi Note 7 (Ruby Red, 64 GB)(4 GB RAM)",116,152,152,159,94,607.55
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(4 GB RAM)",1098,1393,1199,1294,1428,5742.75
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(6 GB RAM)",544,625,436,539,189,2139.5
"Redmi Note 7S (Sapphire Blue, 32 GB)(3 GB RAM)",1066,1108,682,995,1188,4528.55
"Redmi Note 7S (Sapphire Blue, 64 GB)(4 GB RAM)",601,680,514,695,396,2617.15
"Redmi Y1 (Rose Gold, 32 GB)(3 GB RAM)",2,2,1,1,3,8.05
"Redmi Y2 (Black, 32 GB)(3 GB RAM)",65,93,82,75,100,370.9
"Redmi Y2 (Black, 64 GB)(4 GB RAM)",105,58,30,34,13,226.4
"Redmi Y3 (Bold Red, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Redmi Y3 (Elegant Blue, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Ringing Bell ELEGANT P3 (Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Rio London (Black, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Rivo RX-250 (Gold, 8 GB)(2 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A10 (Gold, 32 GB)(2 GB RAM)",36,38,31,28,17,137.4
"Samsung Galaxy A2 Core (Blue, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A2 Core (Dark Gray, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A20 (Deep Blue, 32 GB)(3 GB RAM)",32,31,30,32,41,148.45
"Samsung Galaxy A3 (Midnight Black, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A3 (Pearl White, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A30 (Blue, 64 GB)(4 GB RAM)",39,49,29,41,41,179.3
"Samsung Galaxy A5 (Pearl White, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A5 2016 Edition (White, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A6 (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A7 (Blue, 64 GB)(4 GB RAM)",4,7,7,9,5,28.6
"Samsung Galaxy A8 Star (Black, 64 GB)(6 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A80 (Angel Gold, 128 GB)(8 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A80 (Phantom Black, 128 GB)(8 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy A9 (Caviar Black, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy Alpha (Dazzling White, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy C9 Pro (Gold, 64 GB)(6 GB RAM)",0,1,0,0,0,0.95
"Samsung Galaxy Core (Chic White, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy Core 2 (White, 4 GB)(768 MB RAM)",0,0,0,0,0,0
"Samsung Galaxy Grand Neo (White, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy Grand Prime 4g (Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J1 (4G) (Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J1 (White, 4 GB)(0.5 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J2 (Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J2 - 2016 (Black, 8 GB)(1.5 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J2 - 2016 (Silver, 8 GB)(1.5 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J2 2018 (Black, 16 GB)(2 GB RAM)",0,1,0,2,2,4.25
"Samsung Galaxy J2 Ace (Black, 8 GB)(1.5 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J2 Ace (Gold, 8 GB)(1.5 GB RAM)",0,0,0,0,0,0
"Samsung Galaxy J4 Plus (Black, 32 GB)(2 GB RAM)",0,4,2,0,2,7.2
